Stock Name,Transaction Type,Amount,Politician,Transaction Date,Filing Date
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Donald Sternoff Beyer Jr
                    

                      House / D","Dec. 01, 2020","Nov. 04, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$1,001 - $15,000","Wyden, Ron
                    

                      Senate / D","Nov. 16, 2020","Oct. 16, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$1,001 - $15,000","Wyden, Ron
                    

                      Senate / D","Nov. 16, 2020","Oct. 16, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$1,001 - $15,000","Wyden, Ron
                    

                      Senate / D","Nov. 16, 2020","Oct. 16, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$50,001 - $100,000","Debbie Dingell
                    

                      House / D","Oct. 24, 2020","Oct. 13, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Oct. 13, 2020","Sep. 14, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$15,001 - $50,000","Roberts, Pat
                    

                      Senate / R","Sep. 30, 2020","Sep. 14, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$15,001 - $50,000","Thomas Suozzi
                    

                      House / D","Dec. 19, 2022","Sep. 08, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$15,001 - $50,000","Gilbert Cisneros
                    

                      House / D","Oct. 14, 2020","Sep. 08, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Sale (Full),"$15,001 - $50,000","Roberts, Pat
                    

                      Senate / R","Sep. 30, 2020","Sep. 04, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$15,001 - $50,000","Brian Higgins
                    

                      House / D","Aug. 11, 2021","Sep. 04, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Sale (Full),"$15,001 - $50,000","Roberts, Pat
                    

                      Senate / R","Sep. 30, 2020","Sep. 04, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Sale (Full),"$15,001 - $50,000","Roberts, Pat
                    

                      Senate / R","Sep. 30, 2020","Sep. 04, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$50,001 - $100,000","Roberts, Pat
                    

                      Senate / R","Sep. 30, 2020","Sep. 04, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Ed Perlmutter
                    

                      House / D","Nov. 11, 2020","Sep. 03, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Gilbert Cisneros
                    

                      House / D","Sep. 14, 2020","Aug. 24, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$50,001 - $100,000","Wyden, Ron
                    

                      Senate / D","Aug. 29, 2020","Aug. 21, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Thomas Suozzi
                    

                      House / D","Dec. 19, 2022","Aug. 20, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$15,001 - $50,000","Wyden, Ron
                    

                      Senate / D","Aug. 29, 2020","Aug. 19, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Thomas Suozzi
                    

                      House / D","Dec. 19, 2022","Aug. 19, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Thomas Suozzi
                    

                      House / D","Dec. 19, 2022","Aug. 03, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$50,001 - $100,000","Wyden, Ron
                    

                      Senate / D","Aug. 29, 2020","Jul. 30, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$15,001 - $50,000","Wyden, Ron
                    

                      Senate / D","Jul. 31, 2020","Jul. 27, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$15,001 - $50,000","Donald Sternoff Beyer Jr
                    

                      House / D","Aug. 09, 2020","Jul. 14, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Thomas Suozzi
                    

                      House / D","Dec. 19, 2022","Jul. 10, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Sale (Partial),"$1,001 - $15,000","Carper, Thomas R.
                    

                      Senate / D","Aug. 04, 2020","Jul. 09, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$15,001 - $50,000","Wyden, Ron
                    

                      Senate / D","Jul. 31, 2020","Jul. 06, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$15,001 - $50,000","Wyden, Ron
                    

                      Senate / D","Jul. 02, 2020","Jun. 26, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$15,001 - $50,000","Wyden, Ron
                    

                      Senate / D","Jul. 02, 2020","Jun. 24, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$50,001 - $100,000","Wyden, Ron
                    

                      Senate / D","Jul. 02, 2020","Jun. 12, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Gilbert Cisneros
                    

                      House / D","Jul. 17, 2020","Jun. 11, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$15,001 - $50,000","Thomas Suozzi
                    

                      House / D","Dec. 19, 2022","Jun. 03, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Jul. 09, 2020","Jun. 01, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$15,001 - $50,000","Roberts, Pat
                    

                      Senate / R","Jul. 08, 2020","May. 29, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$15,001 - $50,000","Roberts, Pat
                    

                      Senate / R","Jul. 08, 2020","May. 29, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$100,001 - $250,000","Wyden, Ron
                    

                      Senate / D","Jun. 01, 2020","May. 26, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Gilbert Cisneros
                    

                      House / D","Jun. 16, 2020","May. 20, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Donald Sternoff Beyer Jr
                    

                      House / D","May. 31, 2020","May. 01, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Sale (Full),"$50,001 - $100,000","Roberts, Pat
                    

                      Senate / R","May. 02, 2020","Apr. 24, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$50,001 - $100,000","Wyden, Ron
                    

                      Senate / D","May. 05, 2020","Apr. 21, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Gilbert Cisneros
                    

                      House / D","Apr. 16, 2020","Mar. 30, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","John Curtis
                    

                      House / R","Apr. 09, 2020","Mar. 27, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$15,001 - $50,000","Thomas Suozzi
                    

                      House / D","Sep. 23, 2021","Mar. 20, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$50,001 - $100,000","Roberts, Pat
                    

                      Senate / R","Mar. 28, 2020","Mar. 06, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$15,001 - $50,000","Thomas Suozzi
                    

                      House / D","Sep. 23, 2021","Mar. 03, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$100,001 - $250,000","Thomas Suozzi
                    

                      House / D","Sep. 23, 2021","Mar. 02, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$15,001 - $50,000","Thomas Suozzi
                    

                      House / D","Sep. 23, 2021","Mar. 02, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Sale (Full),"$15,001 - $50,000","Roberts, Pat
                    

                      Senate / R","Mar. 28, 2020","Mar. 02, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Mar. 16, 2020","Feb. 28, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Sale (Full),"$15,001 - $50,000","Loeffler, Kelly
                    

                      Senate / R","Mar. 31, 2020","Feb. 26, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Sale (Partial),"$15,001 - $50,000","Loeffler, Kelly
                    

                      Senate / R","Mar. 31, 2020","Feb. 24, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","David Cheston Rouzer
                    

                      House / R","Feb. 27, 2020","Feb. 21, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$15,001 - $50,000","Mikie Sherrill
                    

                      House / D","Apr. 05, 2020","Feb. 20, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Thomas Suozzi
                    

                      House / D","Sep. 23, 2021","Feb. 13, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$15,001 - $50,000","Roberts, Pat
                    

                      Senate / R","Mar. 04, 2020","Feb. 11, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Donald Sternoff Beyer Jr
                    

                      House / D","Feb. 22, 2020","Jan. 10, 2020"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Sale (Full),"$15,001 - $50,000","Roberts, Pat
                    

                      Senate / R","Feb. 03, 2020","Jan. 06, 2020"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Donald Sternoff Beyer Jr
                    

                      House / D","Jan. 02, 2020","Dec. 24, 2019"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Donald Sternoff Beyer Jr
                    

                      House / D","Dec. 14, 2019","Dec. 09, 2019"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$15,001 - $50,000","Thomas Suozzi
                    

                      House / D","Sep. 23, 2021","Dec. 02, 2019"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Donald Sternoff Beyer Jr
                    

                      House / D","Dec. 14, 2019","Nov. 26, 2019"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Donald Sternoff Beyer Jr
                    

                      House / D","Dec. 14, 2019","Nov. 19, 2019"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Thomas Suozzi
                    

                      House / D","Sep. 23, 2021","Nov. 15, 2019"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$15,001 - $50,000","Gilbert Cisneros
                    

                      House / D","Nov. 15, 2019","Oct. 21, 2019"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$1,001 - $15,000","Roberts, Pat
                    

                      Senate / R","Nov. 03, 2019","Oct. 01, 2019"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$15,001 - $50,000","Thomas Suozzi
                    

                      House / D","Sep. 23, 2021","Jul. 29, 2019"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$15,001 - $50,000","Thomas Suozzi
                    

                      House / D","Sep. 23, 2021","Jul. 08, 2019"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","James R. Langevin
                    

                      House / D","Sep. 05, 2019","Jul. 03, 2019"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$15,001 - $50,000","Thomas Suozzi
                    

                      House / D","Dec. 19, 2022","Jun. 06, 2019"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Gilbert Cisneros
                    

                      House / D","Jun. 18, 2019","May. 21, 2019"
"NVDA


                        NVIDIA Corporation
                      

                        Stock",Purchase,"$1,001 - $15,000","Whitehouse, Sheldon
                    

                      Senate / D","Jun. 11, 2019","May. 17, 2019"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Brenda Lulenar Lawrence
                    

                      House / D","Aug. 21, 2019","May. 14, 2019"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Gilbert Cisneros
                    

                      House / D","May. 14, 2019","Apr. 09, 2019"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Gilbert Cisneros
                    

                      House / D","Apr. 16, 2019","Mar. 26, 2019"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Nicholas Van Taylor
                    

                      House / R","Apr. 15, 2019","Mar. 25, 2019"
